Date,Match,Score,Winner
2014-07-17,LA Galaxy vs. New England Revolution,5 - 1,LA Galaxy
2014-03-30,San Jose Earthquakes vs. New England Revolution,1 - 2,New England Revolution
2014-07-31,New England Revolution vs. Colorado Rapids,3 - 0,New England Revolution
2014-09-27,Sporting Kansas City vs. New England Revolution,2 - 3,New England Revolution
2014-07-20,FC Dallas vs. New England Revolution,2 - 0,FC Dallas
2014-09-29,LA Galaxy vs. New York Red Bulls,4 - 0,LA Galaxy
2013-03-11,San Jose Earthquakes vs. New York Red Bulls,2 - 1,San Jose Earthquakes
2013-07-05,Colorado Rapids vs. New York Red Bulls,2 - 0,Colorado Rapids
2014-10-27,Sporting Kansas City vs. New York Red Bulls,0 - 2,New York Red Bulls
2014-05-04,FC Dallas vs. New York Red Bulls,0 - 1,New York Red Bulls
2014-08-28,LA Galaxy vs. D.C. United,4 - 1,LA Galaxy
2014-07-12,San Jose Earthquakes vs. D.C. United,1 - 2,D.C. United
2014-08-18,D.C. United vs. Colorado Rapids,4 - 2,D.C. United
2014-08-24,Sporting Kansas City vs. D.C. United,0 - 3,D.C. United
2014-04-26,D.C. United vs. FC Dallas,4 - 1,D.C. United
2014-08-16,Columbus Crew vs. LA Galaxy,4 - 1,Columbus Crew
2013-05-11,Columbus Crew vs. Colorado Rapids,0 - 2,Colorado Rapids
2014-07-16,Columbus Crew vs. Sporting Kansas City,1 - 2,Sporting Kansas City
2013-09-30,FC Dallas vs. Columbus Crew,2 - 4,Columbus Crew
2013-03-03,LA Galaxy vs. Chicago Fire FC,4 - 0,LA Galaxy
2014-07-24,San Jose Earthquakes vs. Chicago Fire FC,5 - 1,San Jose Earthquakes
2013-06-20,Chicago Fire FC vs. Colorado Rapids,2 - 1,Chicago Fire FC
2014-10-11,Sporting Kansas City vs. Chicago Fire FC,2 - 0,Sporting Kansas City
2014-08-31,Chicago Fire FC vs. FC Dallas,1 - 0,Chicago Fire FC
